ID,Classification 1,Classification 2,Resolution,match,Final Classification
FAMILY_30,TRUE,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_31,TRUE,TRUE,,TRUE,TRUE
FAMILY_32,TRUE,TRUE,,TRUE,TRUE
FAMILY_33,TRUE_NEW_OVER,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_34,TRUE_NEW,FALSE,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_35,TRUE_NEW,TRUE_NEW_UNDER,TRUE_NEW_UNDER,TRUE,TRUE_NEW_UNDER
FAMILY_36,FALSE,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_37,TRUE_UNDER,TRUE_UNDER,,TRUE,TRUE_UNDER
FAMILY_38,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_39,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_40,TRUE_NEW,TRUE_NEW_OVER,TRUE_NEW_OVER,TRUE,TRUE_NEW_OVER
FAMILY_41,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_42,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_43,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_44,TRUE_NEW,TRUE_NEW_UNDER,FALSE,TRUE,FALSE
FAMILY_45,TRUE_NEW,FALSE,TRUE_NEW_UNDER,TRUE,TRUE_NEW_UNDER
FAMILY_46,TRUE_NEW,TRUE_NEW_UNDER,TRUE_NEW_UNDER,TRUE,TRUE_NEW_UNDER
FAMILY_47,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_48,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_49,TRUE_NEW,TRUE_NEW_OVER,TRUE_NEW_OVER,TRUE,TRUE_NEW_OVER
FAMILY_50,TRUE_NEW,TRUE_NEW_OVER,TRUE_NEW_OVER,TRUE,TRUE_NEW_OVER
FAMILY_51,TRUE_NEW_UNDER,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_52,TRUE_NEW_UNDER,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_53,TRUE,TRUE,,TRUE,TRUE
FAMILY_54,FALSE,TRUE_NEW,TRUE,TRUE,TRUE
FAMILY_55,FALSE,TRUE_NEW,FALSE,TRUE,FALSE
FAMILY_56,FALSE,TRUE_NEW,FALSE,TRUE,FALSE
FAMILY_57,duplicate of FAMILY_59,FALSE,TRUE_NEW,TRUE,TRUE_NEW
